classification,typeGroup,subType,name,selectionLabel,sourceRow,type,workType,contractId,accessLevel,category,department,vendor,group,fixedSla,slaVersion,remark,active
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Laptop Rental Agreement | สัญญาเช่าคอมพิวเตอร์โน้ตบุ๊ก,Laptop Rental Agreement | สัญญาเช่าคอมพิวเตอร์โน้ตบุ๊ก,31,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Legal,ยังไม่ระบุ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Car Rental Agreement – Coffee Truck | สัญญาเช่ารถยนต์ – Coffee Truck,Car Rental Agreement – Coffee Truck | สัญญาเช่ารถยนต์ – Coffee Truck,32,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Business Development,Mr. Therdsit (Food Truck Owner),Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Outsourcing Agreement / สัญญาจ้าง,,Outsourced Service Provider Agreement | สัญญาจ้างผู้ให้บริการภายนอก,Outsourced Service Provider Agreement | สัญญาจ้างผู้ให้บริการภายนอก,33,Outsourcing Agreement / สัญญาจ้าง,Outsourcing Agreement / สัญญาจ้าง,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Legal,ยังไม่ระบุ,Outsourcing Agreement / สัญญาจ้าง,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Outsourcing Agreement / สัญญาจ้าง,,Partner Service Order Agreement – Dianping Thailand | สัญญาสั่งซื้อบริการพันธมิตร – Dianping Thailand,Partner Service Order Agreement – Dianping Thailand | สัญญาสั่งซื้อบริการพันธมิตร – Dianping Thailand,34,Outsourcing Agreement / สัญญาจ้าง,Outsourcing Agreement / สัญญาจ้าง,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Marketing,T5-Dianping Thailand,Outsourcing Agreement / สัญญาจ้าง,24,2026-08-05-sla-config-updated1-v1,เดิม: Service Contract Order,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Others / อื่น ๆ,,Insurance Claim Supporting Documents | เอกสารประกอบการเรียกร้องค่าสินไหมประกันภัย,Insurance Claim Supporting Documents | เอกสารประกอบการเรียกร้องค่าสินไหมประกันภัย — Maison Dunand – Rabbit Broker and Alpea — SLA 20,35,Others / อื่น ๆ,Others / อื่น ๆ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,Maison Dunand – Rabbit Broker and Alpea,Others / อื่น ๆ,20,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (1/3),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Others / อื่น ๆ,,Insurance Claim Supporting Documents | เอกสารประกอบการเรียกร้องค่าสินไหมประกันภัย,Insurance Claim Supporting Documents | เอกสารประกอบการเรียกร้องค่าสินไหมประกันภัย — Capricci – Rabbit Broker and MMP — SLA 20,36,Others / อื่น ๆ,Others / อื่น ๆ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,Capricci – Rabbit Broker and MMP,Others / อื่น ๆ,20,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (2/3),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Others / อื่น ๆ,,Insurance Claim Supporting Documents | เอกสารประกอบการเรียกร้องค่าสินไหมประกันภัย,Insurance Claim Supporting Documents | เอกสารประกอบการเรียกร้องค่าสินไหมประกันภัย — BK Salon – Rabbit Broker and FSQ — SLA 20,37,Others / อื่น ๆ,Others / อื่น ๆ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,BK Salon – Rabbit Broker and FSQ,Others / อื่น ๆ,20,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (3/3),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Restaurant Management and Consultancy Agreement – Sushi Saryu | สัญญาบริหารและให้คำปรึกษาร้านอาหาร – Sushi Saryu,Restaurant Management and Consultancy Agreement – Sushi Saryu | สัญญาบริหารและให้คำปรึกษาร้านอาหาร – Sushi Saryu,38,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Marketing,"T23-Kinn1, T23-Mochit Land",Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Management Services Agreement | สัญญาจ้างบริหาร,Management Services Agreement | สัญญาจ้างบริหาร,39,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Marketing,"T23-Kamkoong, T23-Mochit Land",Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,เดิม: สัญญาจ้างบริหาร,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร — T23-KTT — SLA 22,40,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Finance,T23-KTT,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (1/8),Yes
